district,target_encoded_value
Pom Prap Sattru Phai,133.8837061924165
Pathum Wan,128.9263905717925
Bang Rak,125.79765596643503
Ratchathewi,121.96850182681072
Watthana,119.25778949194142
Khlong Toei,118.08959790665834
Sathon,113.92481277795187
Khlong San,112.5270465849568
Samphanthawong,111.01832121251006
Phaya Thai,109.51890192479317
Dusit,106.55089993217291
Bang Kho Laem,105.21765911922388
Yan Nawa,103.96925222002194
Thon Buri,103.58249121439184
Bang Sue,102.41432549389143
Huai Khwang,102.0712318438044
Phra Khanong,101.06549532164948
Bang Phlat,99.64233085915835
Rat Burana,99.07653029918045
Chatuchak,97.89159049819054
Bang Na,97.88336039640087
Din Daeng,97.82999097405015
Taling Chan,97.53344442270908
Phasi Charoen,96.59364178028505
Khan Na Yao,94.26093786351503
Bangkok Yai,93.01707710401878
Bangkok Noi,92.28185919074427
Chom Thong,91.7587577807949
Bang Khae,89.86376129018527
Suan Luang,89.17813936465211
Lat Krabang,89.06395924884364
Bang Khun Thian,87.80681500394846
Bang Kapi,86.03972479901886
Bueng Kum,84.5681037886849
Lak Si,84.24170778022457
Wang Thonglang,84.22551101749427
Bang Khen,84.08204989821382
Lat Phrao,83.62784169621311
Prawet,80.57768921982749
Don Mueang,76.10064747487564
Sai Mai,73.33761292548621
Min Buri,62.455393114813376
